Occupational Group,Detail Occupation ,Median Annual Wage
Community and Social Service Occupations,Mental health counselors,"$40,080"
Community and Social Service Occupations,Rehabilitation counselors,"$33,880"
Community and Social Service Occupations,"Counselors, all other","$43,810"
Community and Social Service Occupations,"Child, family, and school social workers","$41,530"
Community and Social Service Occupations,Healthcare social workers,"$49,830"
Community and Social Service Occupations,Mental health and substance abuse social workers,"$39,980"
Community and Social Service Occupations,"Social workers, all other","$54,560"
Community and Social Service Occupations,Health educators ,"$48,790"
Community and Social Service Occupations,Probation officers and correctional treatment specialists,"$48,190"
Community and Social Service Occupations,Social and human service assistants,"$28,850"
Community and Social Service Occupations,Community health workers,"$34,620"
Community and Social Service Occupations,"Community and social service specialists, all other","$41,060"
Community and Social Service Occupations,Clergy,"$44,060"
Community and Social Service Occupations,"Directors, religious activities and education","$37,280"
Community and Social Service Occupations,"Religious workers, all other","$26,380"
Legal Occupations,Lawyers,"$113,530"
Legal Occupations,Judicial law clerks,"$47,120"
Legal Occupations,"Administrative law judges, adjudicators, and hearing officers","$87,240"
Legal Occupations,"Arbitrators, mediators, and conciliators","$61,280"
Legal Occupations,"Judges, magistrate judges, and magistrates","$115,760"
Legal Occupations,Paralegals and legal assistants,"$46,990"
Legal Occupations,Court reporters,"$48,160"
Legal Occupations,"Title examiners, abstractors, and searchers","$41,970"
Legal Occupations,"Legal support workers, all other","$52,660"
"Education, Training, and Library Occupations","Business teachers, postsecondary","$73,660"
"Education, Training, and Library Occupations","Computer science teachers, postsecondary","$72,200"
"Education, Training, and Library Occupations","Mathematical science teachers, postsecondary","$64,990"
"Education, Training, and Library Occupations","Architecture teachers, postsecondary","$71,610"
"Education, Training, and Library Occupations","Engineering teachers, postsecondary","$92,670"
"Education, Training, and Library Occupations","Agricultural sciences teachers, postsecondary","$80,490"
"Education, Training, and Library Occupations","Biological science teachers, postsecondary","$74,180"
"Education, Training, and Library Occupations","Forestry and conservation science teachers, postsecondary","$81,930"
"Education, Training, and Library Occupations","Atmospheric, earth, marine, and space sciences teachers, postsecondary","$82,180"
"Education, Training, and Library Occupations","Chemistry teachers, postsecondary","$71,140"
"Education, Training, and Library Occupations","Environmental science teachers, postsecondary","$77,320"
"Education, Training, and Library Occupations","Physics teachers, postsecondary","$78,540"
"Education, Training, and Library Occupations","Anthropology and archeology teachers, postsecondary","$76,020"
"Education, Training, and Library Occupations","Area, ethnic, and cultural studies teachers, postsecondary","$67,360"
"Education, Training, and Library Occupations","Economics teachers, postsecondary","$87,950"
"Education, Training, and Library Occupations","Geography teachers, postsecondary","$67,820"
"Education, Training, and Library Occupations","Political science teachers, postsecondary","$72,170"
"Education, Training, and Library Occupations","Psychology teachers, postsecondary","$68,020"
"Education, Training, and Library Occupations","Sociology teachers, postsecondary","$66,150"
"Education, Training, and Library Occupations","Social sciences teachers, postsecondary, all other","$69,890"
"Education, Training, and Library Occupations","Health specialties teachers, postsecondary","$81,140"
"Education, Training, and Library Occupations","Nursing instructors and teachers, postsecondary","$64,850"
"Education, Training, and Library Occupations","Education teachers, postsecondary","$59,350"
"Education, Training, and Library Occupations","Library science teachers, postsecondary","$65,780"
"Education, Training, and Library Occupations","Criminal justice and law enforcement teachers, postsecondary","$58,040"
"Education, Training, and Library Occupations","Law teachers, postsecondary","$99,950"
"Education, Training, and Library Occupations","Social work teachers, postsecondary","$63,250"
"Education, Training, and Library Occupations","Art, drama, and music teachers, postsecondary","$62,160"
"Education, Training, and Library Occupations","Communications teachers, postsecondary","$62,180"
"Education, Training, and Library Occupations","English language and literature teachers, postsecondary","$60,040"
"Education, Training, and Library Occupations","Foreign language and literature teachers, postsecondary","$58,670"
"Education, Training, and Library Occupations","History teachers, postsecondary","$65,870"
"Education, Training, and Library Occupations","Philosophy and religion teachers, postsecondary","$64,990"
"Education, Training, and Library Occupations",Graduate teaching assistants,"$31,270"
"Education, Training, and Library Occupations","Home economics teachers, postsecondary","$64,040"
"Education, Training, and Library Occupations","Recreation and fitness studies teachers, postsecondary","$57,920"
"Education, Training, and Library Occupations","Vocational education teachers, postsecondary","$47,990"
"Education, Training, and Library Occupations","Postsecondary teachers, all other","$64,290"
"Education, Training, and Library Occupations","Preschool teachers, except special education","$27,130"
"Education, Training, and Library Occupations","Kindergarten teachers, except special education","$50,120"
"Education, Training, and Library Occupations","Elementary school teachers, except special education","$53,400"
"Education, Training, and Library Occupations","Middle school teachers, except special and career/technical education","$53,430"
"Education, Training, and Library Occupations","Career/technical education teachers, middle school","$54,220"
"Education, Training, and Library Occupations","Secondary school teachers, except special and career/technical education","$55,050"
"Education, Training, and Library Occupations","Career/technical education teachers, secondary school","$55,160"
"Education, Training, and Library Occupations","Special education teachers, preschool","$52,480"
"Education, Training, and Library Occupations","Special education teachers, kindergarten and elementary school","$53,820"
"Education, Training, and Library Occupations","Special education teachers, middle school","$55,780"
"Education, Training, and Library Occupations","Special education teachers, secondary school","$56,830"
"Education, Training, and Library Occupations","Special education teachers, all other","$51,980"
"Education, Training, and Library Occupations",Adult basic and secondary education and literacy teachers and instructors ,"$48,590"
"Education, Training, and Library Occupations",Self-enrichment education teachers,"$35,320"
"Education, Training, and Library Occupations","Teachers and instructors, all other","$28,540"
"Education, Training, and Library Occupations",Archivists,"$47,340"
"Education, Training, and Library Occupations",Curators,"$49,590"
"Education, Training, and Library Occupations",Museum technicians and conservators,"$38,220"
"Education, Training, and Library Occupations",Librarians,"$55,370"
"Education, Training, and Library Occupations",Library technicians,"$30,660"
"Education, Training, and Library Occupations",Audio-visual and multimedia collections specialists,"$43,350"
"Education, Training, and Library Occupations",Farm and home management advisors,"$46,760"
"Education, Training, and Library Occupations",Instructional coordinators,"$60,050"
"Education, Training, and Library Occupations",Teacher assistants,"$23,640"
"Education, Training, and Library Occupations","Education, training, and library workers, all other","$36,610"
"Arts, Design, Entertainment, Sports, and Media Occupations",Art directors,"$80,880"
"Arts, Design, Entertainment, Sports, and Media Occupations",Craft artists,"$29,600"
