OccupationsGroup,DetailGroup,Wages
Personal Care and Service Occupations,Slot supervisors,32390
Personal Care and Service Occupations,First-line supervisors of personal service workers,35150
Personal Care and Service Occupations,Animal trainers,25270
Personal Care and Service Occupations,Nonfarm animal caretakers,19690
Personal Care and Service Occupations,Gaming dealers,18630
Personal Care and Service Occupations,Gaming and sports book writers and runners,21810
Personal Care and Service Occupations,"Gaming service workers, all other",23490
Personal Care and Service Occupations,Motion picture projectionists,19830
Personal Care and Service Occupations,"Ushers, lobby attendants, and ticket takers",18730
Personal Care and Service Occupations,Amusement and recreation attendants,18710
Personal Care and Service Occupations,Costume attendants,36760
Personal Care and Service Occupations,"Locker room, coatroom, and dressing room attendants",19160
Personal Care and Service Occupations,"Entertainment attendants and related workers, all other",25140
Personal Care and Service Occupations,Embalmers,42240
Personal Care and Service Occupations,Funeral attendants,22610
Personal Care and Service Occupations,"Morticians, undertakers, and funeral directors",46840
Personal Care and Service Occupations,Barbers,25090
Personal Care and Service Occupations,"Hairdressers, hairstylists, and cosmetologists",22700
Personal Care and Service Occupations,"Makeup artists, theatrical and performance",64450
Personal Care and Service Occupations,Manicurists and pedicurists,19220
Personal Care and Service Occupations,Shampooers,18310
Personal Care and Service Occupations,Skincare specialists,28640
Personal Care and Service Occupations,Baggage porters and bellhops,20050
Personal Care and Service Occupations,Concierges,27250
Personal Care and Service Occupations,Tour guides and escorts,23940
Personal Care and Service Occupations,Travel guides,30780
Personal Care and Service Occupations,Childcare workers,19510
Personal Care and Service Occupations,Personal care aides,19910
Personal Care and Service Occupations,Fitness trainers and aerobics instructors,31720
Personal Care and Service Occupations,Recreation workers,22240
Personal Care and Service Occupations,Residential advisors,24520
Personal Care and Service Occupations,"Personal care and service workers, all other",20600
Sales and Related Occupations,First-line supervisors of retail sales workers,36820
Sales and Related Occupations,First-line supervisors of non-retail sales workers,70060
Sales and Related Occupations,Cashiers,18970
Sales and Related Occupations,Gaming change persons and booth cashiers,24690
Sales and Related Occupations,Counter and rental clerks,23130
Sales and Related Occupations,Parts salespersons,29550
Sales and Related Occupations,Retail salespersons,21110
Sales and Related Occupations,Advertising sales agents,46290
Sales and Related Occupations,Insurance sales agents,48150
Sales and Related Occupations,"Securities, commodities, and financial services sales agents",71720
Sales and Related Occupations,Travel agents,34600
Sales and Related Occupations,"Sales representatives, services, all other",50850
Sales and Related Occupations,"Sales representatives, wholesale and manufacturing, technical and scientific products",74970
Sales and Related Occupations,"Sales representatives, wholesale and manufacturing, except technical and scientific products",54230
Sales and Related Occupations,Demonstrators and product promoters,23860
Sales and Related Occupations,Models,18750
Sales and Related Occupations,Real estate brokers,58350
Sales and Related Occupations,Real estate sales agents,39140
Sales and Related Occupations,Sales engineers,91830
Sales and Related Occupations,Telemarketers,22330
Sales and Related Occupations,"Door-to-door sales workers, news and street vendors, and related workers",21470
Sales and Related Occupations,"Sales and related workers, all other",25800
Office and Administrative Support Occupations,First-line supervisors of office and administrative support workers,49330
